Date(UTC);Order No.;Pair;Base Asset;Quote Asset;Type;Order Price;Order Amount;AvgTrading Price;Filled;Total;Trigger Condition;Status
2026-02-09 19:53:00;005264855609;BTC/EUR;BTC;EUR;BUY;57650;0.01;57650;0.01;576.5;;Filled
Date(UTC);Trading Price;Filled;Total;Fee;;;;;;;;
2026-02-10 11:44:30;57650;0.01;576.5;0.00082344BNB;;;;;;;;
2026-02-09 12:22:04;005262459208;BTC/EUR;BTC;EUR;BUY;58039;0.0125;58039;0.0125;725.4875;;Filled
Date(UTC);Trading Price;Filled;Total;Fee;;;;;;;;
2026-02-09 12:30:57;58039;0.0125;725.4875;0.00103453BNB;;;;;;;;
2026-02-08 20:35:31;005258561195;BTC/EUR;BTC;EUR;SELL;60500;0.015;60500;0.015;907.5;>= 60500(Time Submitted: 2026-02-08 23:04:16);Filled
Date(UTC);Trading Price;Filled;Total;Fee;;;;;;;;
2026-02-08 23:04:16;60500;0.015;907.5;0.00124094BNB;;;;;;;;
2026-02-08 09:09:38;005256210724;BTC/EUR;BTC;EUR;SELL;60500;0.015;60500;0.015;907.5;>= 60500(Time Submitted: 2026-02-08 13:19:24);Filled
Date(UTC);Trading Price;Filled;Total;Fee;;;;;;;;
2026-02-08 13:19:24;60500;0.015;907.5;0.00124738BNB;;;;;;;;
2026-02-08 08:06:21;005255888376;BTC/EUR;BTC;EUR;SELL;59300;0.01;59300;0.01;593;>= 59300(Time Submitted: 2026-02-08 08:22:52);Filled
Date(UTC);Trading Price;Filled;Total;Fee;;;;;;;;
2026-02-08 08:22:52;59300;0.0086;509.98;0.0007017BNB;;;;;;;;
2026-02-08 08:22:52;59300;0.0014;83.02;0.00011422BNB;;;;;;;;
2026-02-07 08:19:03;005251106538;BTC/EUR;BTC;EUR;BUY;0.0;0.00938;57794.2;0.00938;542.109596;;Filled
Date(UTC);Trading Price;Filled;Total;Fee;;;;;;;;
2026-02-07 08:19:03;57794.2;0.00938;542.109596;0.00071432BNB;;;;;;;;
2026-02-07 06:31:08;005250029260;BTC/EUR;BTC;EUR;SELL;0.0;0.0139;59591.62978418;0.0139;828.323654;;Filled
Date(UTC);Trading Price;Filled;Total;Fee;;;;;;;;
2026-02-07 06:31:08;59595.3;0.00479;285.461487;0.00036724BNB;;;;;;;;
2026-02-07 06:31:08;59589.7;0.00911;542.862167;0.00069838BNB;;;;;;;;
2026-02-06 11:52:55;005243312805;BTC/EUR;BTC;EUR;BUY;0.0;0.01;56398.12;0.01;563.9812;;Filled
Date(UTC);Trading Price;Filled;Total;Fee;;;;;;;;
2026-02-06 11:52:55;56398.12;0.00694;391.4029528;0.00051607BNB;;;;;;;;
2026-02-06 11:52:55;56398.12;0.00306;172.5782472;0.00022788BNB;;;;;;;;
2026-02-05 16:02:54;005232587359;BTC/EUR;BTC;EUR;BUY;0.0;0.00394;57257.4;0.00394;225.594156;;Filled
Date(UTC);Trading Price;Filled;Total;Fee;;;;;;;;
2026-02-05 16:02:54;57257.4;0.00182;104.208468;0.00000173BTC;;;;;;;;
2026-02-05 16:02:54;57257.4;0.00212;121.385688;0.00000201BTC;;;;;;;;
2026-02-05 14:30:38;005231160833;BTC/EUR;BTC;EUR;BUY;59287.64;0.01;59287.64;0.01;592.8764;;Filled
Date(UTC);Trading Price;Filled;Total;Fee;;;;;;;;
2026-02-05 14:30:39;59287.64;0.00724;429.2425136;0.00000724BTC;;;;;;;;
2026-02-05 14:30:39;59287.64;0.00276;163.6338864;0.00000276BTC;;;;;;;;
2026-02-05 14:30:28;005231158319;BTC/EUR;BTC;EUR;BUY;59316.17;0.01;59265.31;0.01;592.6531;;Filled
Date(UTC);Trading Price;Filled;Total;Fee;;;;;;;;
2026-02-05 14:30:28;59265.31;0.00284;168.3134804;0.0000027BTC;;;;;;;;
2026-02-05 14:30:28;59265.31;0.00716;424.3396196;0.0000068BTC;;;;;;;;
2026-02-05 14:23:02;005231106483;BTC/EUR;BTC;EUR;BUY;0.0;0.01;59089.76;0.01;590.8976;;Filled
Date(UTC);Trading Price;Filled;Total;Fee;;;;;;;;
2026-02-05 14:23:02;59089.76;0.01;590.8976;0.0000095BTC;;;;;;;;
2026-02-04 14:16:33;005221968427;BTC/EUR;BTC;EUR;BUY;63000;0.01014;63000;0.01014;638.82;;Filled
Date(UTC);Trading Price;Filled;Total;Fee;;;;;;;;
2026-02-04 14:57:57;63000;0.01014;638.82;0.00001014BTC;;;;;;;;
2026-02-03 19:23:51;005218348240;BTC/EUR;BTC;EUR;SELL;64650;0.01;64650;0.01;646.5;>= 64650(Time Submitted: 2026-02-03 20:32:03);Filled
Date(UTC);Trading Price;Filled;Total;Fee;;;;;;;;
2026-02-03 20:32:03;64650;0.0048;310.32;0.31032EUR;;;;;;;;
2026-02-03 20:32:03;64650;0.0048;310.32;0.31032EUR;;;;;;;;
2026-02-03 20:32:03;64650;0.0004;25.86;0.02586EUR;;;;;;;;
2026-02-03 17:51:21;005217665730;BTC/EUR;BTC;EUR;BUY;63400;0.01309;63400;0.01309;829.906;;Filled
Date(UTC);Trading Price;Filled;Total;Fee;;;;;;;;
2026-02-03 17:55:33;63400;0.01309;829.906;0.00001309BTC;;;;;;;;
2026-02-03 14:50:21;005216506621;BTC/EUR;BTC;EUR;BUY;66000;0.01;66000;0.01;660;;Filled
Date(UTC);Trading Price;Filled;Total;Fee;;;;;;;;
2026-02-03 14:50:31;66000;0.01;660;0.00001BTC;;;;;;;;
2026-02-03 12:17:11;005215991277;BTC/EUR;BTC;EUR;BUY;66155.46;0.01;66155.46;0.01;661.5546;;Filled
Date(UTC);Trading Price;Filled;Total;Fee;;;;;;;;
2026-02-03 14:33:52;66155.46;0.01;661.5546;0.00001BTC;;;;;;;;
2026-02-03 06:19:22;005215026685;BTC/EUR;BTC;EUR;BUY;66200;0.01;66200;0.01;662;;Filled
Date(UTC);Trading Price;Filled;Total;Fee;;;;;;;;
2026-02-03 09:13:26;66200;0.00074;48.988;0.00000074BTC;;;;;;;;
2026-02-03 09:13:26;66200;0.00077;50.974;0.00000077BTC;;;;;;;;
2026-02-03 09:13:26;66200;0.00077;50.974;0.00000077BTC;;;;;;;;
2026-02-03 09:13:26;66200;0.00077;50.974;0.00000077BTC;;;;;;;;
2026-02-03 09:13:26;66200;0.00077;50.974;0.00000077BTC;;;;;;;;
2026-02-03 09:13:26;66200;0.00044;29.128;0.00000044BTC;;;;;;;;
2026-02-03 09:13:26;66200;0.00047;31.114;0.00000047BTC;;;;;;;;
2026-02-03 09:13:26;66200;0.00047;31.114;0.00000047BTC;;;;;;;;
2026-02-03 09:13:26;66200;0.00047;31.114;0.00000047BTC;;;;;;;;
2026-02-03 09:13:26;66200;0.00047;31.114;0.00000047BTC;;;;;;;;
2026-02-03 09:13:26;66200;0.0008;52.96;0.0000008BTC;;;;;;;;
2026-02-03 09:13:26;66200;0.0008;52.96;0.0000008BTC;;;;;;;;
2026-02-03 09:13:26;66200;0.0008;52.96;0.0000008BTC;;;;;;;;
2026-02-03 09:13:26;66200;0.0008;52.96;0.0000008BTC;;;;;;;;
2026-02-03 09:13:26;66200;0.00066;43.692;0.00000066BTC;;;;;;;;
2026-02-02 06:06:59;005209851957;BTC/EUR;BTC;EUR;BUY;63500;0.01;63500;0.01;635;;Filled
Date(UTC);Trading Price;Filled;Total;Fee;;;;;;;;
2026-02-02 06:34:58;63500;0.01;635;0.00001BTC;;;;;;;;
2026-01-31 21:15:24;005203171886;BTC/EUR;BTC;EUR;BUY;64500;0.05136;64500;0.05136;3312.72;;Filled
Date(UTC);Trading Price;Filled;Total;Fee;;;;;;;;
2026-02-01 21:56:24;64500;0.05136;3312.72;0.00005136BTC;;;;;;;;
