date,close_price,sentiment_score,sentiment_label,concordance,active_pillars,fng_raw,taker_ratio,dist_50dma_pct,vol_ratio,fwd_return_7d,fwd_return_14d,fwd_return_30d
2023-12-09,40690.71000000,85.9,Extreme Greed,True,4,73,1.1683,18.73,0.40,-4.76,-1.83,5.54
2023-12-10,40717.97000000,71.6,Greed,False,4,74,1.1735,17.96,0.41,-6.76,-3.23,3.78
2023-12-11,38353.21000000,68.3,Greed,False,4,74,1.1896,10.47,1.74,1.78,3.52,10.99
2023-12-12,38446.35000000,70.7,Greed,False,4,67,1.2087,10.26,1.14,0.14,0.31,9.95
2023-12-13,39472.43000000,74.7,Greed,False,4,65,1.2385,12.72,1.24,1.14,-0.83,-0.71
2023-12-14,39151.11000000,72.7,Greed,False,4,72,1.2391,11.39,0.98,1.87,-1.54,0.31
2023-12-15,38521.35000000,74.6,Greed,False,4,70,1.2321,9.22,0.71,3.90,-0.75,-0.87
2023-12-16,38753.14000000,65.7,Greed,False,4,67,1.2070,9.46,0.43,3.07,-1.09,0.26
2023-12-17,37965.95000000,73.9,Greed,False,4,73,1.1750,6.90,0.63,3.79,1.20,4.57
2023-12-18,39037.34000000,68.8,Greed,False,4,65,1.1521,9.53,0.87,1.71,2.76,0.71
2023-12-19,38501.36000000,69.7,Greed,False,4,73,1.0925,7.66,0.80,0.16,6.87,-1.32
2023-12-20,39923.44000000,66.4,Greed,False,4,74,1.0758,11.20,0.95,-1.95,-1.35,-4.17
2023-12-21,39883.76000000,64.1,Neutral,False,4,70,1.1149,10.69,1.35,-3.35,1.39,-3.95
2023-12-22,40023.67000000,71.5,Greed,False,4,74,1.1678,10.65,0.85,-4.47,1.10,-4.55
2023-12-23,39944.37000000,81.2,Greed,True,4,70,1.2317,9.97,0.48,-4.04,0.98,-8.92
2023-12-24,39404.30000000,81.5,Greed,True,4,71,1.2342,8.09,0.47,-2.49,2.18,-6.64
2023-12-25,39705.00000000,67.7,Greed,False,4,73,1.2287,8.49,0.46,1.03,8.16,-7.21
2023-12-26,38564.22000000,72.6,Greed,False,4,71,1.2427,5.04,1.02,6.69,9.57,-4.41
2023-12-27,39144.69000000,73.2,Greed,False,4,73,1.2462,6.27,1.09,0.61,8.75,-1.47
2023-12-28,38547.43000000,68.8,Greed,False,4,73,1.2735,4.36,0.86,4.91,9.66,0.96
2023-12-29,38233.18000000,63.3,Neutral,False,4,65,1.2831,3.29,1.77,5.83,2.50,1.47
2023-12-30,38330.84000000,64.2,Neutral,False,4,68,1.2389,3.37,0.51,5.23,2.46,4.35
2023-12-31,38422.26000000,65.5,Greed,False,4,67,1.3017,3.42,0.58,4.79,-0.62,3.16
2024-01-01,40113.43000000,70.0,Greed,False,4,65,1.3439,7.66,0.72,7.06,-3.14,-1.75
2024-01-02,41145.87000000,77.8,Greed,False,4,71,1.3685,10.01,1.73,2.70,-3.52,-3.65
2024-01-03,39384.84000000,61.3,Neutral,False,4,70,1.4046,4.93,2.39,8.09,-0.18,1.62
2024-01-04,40438.60000000,77.0,Greed,False,4,68,1.3747,7.42,1.88,4.53,-6.05,-1.37
2024-01-05,40463.66000000,78.0,Greed,False,4,72,1.3678,7.09,1.63,-3.15,-5.45,-2.28
2024-01-06,40336.49000000,76.3,Greed,False,4,70,1.4337,6.37,0.58,-2.64,-5.03,-1.49
2024-01-07,40264.51000000,76.5,Greed,False,4,71,1.3880,5.81,0.68,-5.16,-5.12,-0.56
2024-01-08,42943.93000000,77.8,Greed,False,4,71,1.3978,12.34,1.95,-9.52,-15.28,-4.23
2024-01-09,42255.65000000,71.5,Greed,False,4,76,1.4134,10.08,1.78,-6.05,-12.94,-0.46
2024-01-10,42569.94000000,86.8,Extreme Greed,True,4,73,1.4127,10.33,2.21,-7.65,-13.45,2.62
2024-01-11,42270.75000000,71.5,Greed,False,4,76,1.3928,9.11,1.55,-10.12,-12.79,4.58
2024-01-12,39190.23000000,65.3,Greed,False,4,71,1.3606,0.90,1.34,-2.38,-1.58,13.82
2024-01-13,39272.03000000,62.1,Neutral,False,4,64,1.2924,0.86,0.45,-2.45,-0.90,17.83
2024-01-14,38185.16000000,71.3,Greed,False,4,60,1.3203,-2.12,0.45,0.04,1.59,21.57
2024-01-15,38854.64000000,64.3,Neutral,False,4,52,1.3821,-0.64,0.94,-6.36,2.94,24.45
2024-01-16,39699.47000000,64.8,Neutral,False,4,64,1.3933,1.23,0.79,-7.34,-0.15,21.47
2024-01-17,39313.07000000,68.8,Greed,False,4,60,1.4459,-0.01,0.74,-6.28,0.25,23.19
