date,close_price,sentiment_score,sentiment_label,concordance,active_pillars,fng_raw,taker_ratio,dist_50dma_pct,vol_ratio,fwd_return_7d,fwd_return_14d,fwd_return_30d
2021-03-14,58968.31000000,70.6,Greed,False,4,78,0.9972,28.11,0.65,-2.74,-5.41,7.81
2021-03-15,55605.20000000,63.4,Neutral,False,4,76,0.9879,19.59,1.33,-2.74,3.65,13.23
2021-03-16,56900.75000000,65.8,Greed,False,4,71,0.9860,21.09,1.02,-4.50,3.24,11.00
2021-03-17,58912.97000000,65.5,Greed,False,4,71,0.9806,23.98,0.93,-11.22,-0.29,4.11
2021-03-18,57648.16000000,65.5,Greed,False,4,72,0.9747,19.94,0.90,-11.02,1.86,4.09
2021-03-19,58030.01000000,62.7,Neutral,False,4,71,0.9747,19.51,0.72,-5.18,1.59,-3.24
2021-03-20,58102.28000000,62.7,Neutral,False,4,75,0.9541,18.49,0.63,-3.93,-1.81,-4.25
2021-03-21,57351.56000000,67.4,Greed,False,4,73,0.9570,15.87,0.70,-2.74,1.48,-1.62
2021-03-22,54083.25000000,59.3,Neutral,False,4,70,0.9606,8.35,0.91,6.57,9.33,-0.55
2021-03-23,54340.89000000,58.5,Neutral,False,4,66,0.9657,7.96,0.88,8.11,6.72,-4.88
2021-03-24,52303.65000000,48.9,Neutral,False,4,65,0.9534,3.23,1.23,12.31,6.98,-2.25
2021-03-25,51293.78000000,47.9,Neutral,False,4,60,0.9569,0.69,1.28,14.48,13.23,-2.43
2021-03-26,55025.59000000,55.4,Neutral,False,4,54,0.9630,7.25,0.92,7.13,5.66,-10.83
2021-03-27,55817.14000000,55.5,Neutral,False,4,65,0.9598,8.06,0.72,2.21,7.08,-3.25
2021-03-28,55777.63000000,62.9,Neutral,False,4,74,0.9633,7.29,0.58,4.35,7.57,-1.37
2021-03-29,57635.47000000,60.4,Neutral,False,4,72,0.9720,10.07,1.00,2.59,3.86,-4.84
2021-03-30,58746.57000000,60.5,Neutral,False,4,72,0.9749,11.66,0.83,-1.29,8.22,-8.84
2021-03-31,58740.55000000,62.6,Neutral,False,4,76,0.9963,11.13,0.94,-4.74,7.18,-1.78
2021-04-01,58720.44000000,64.4,Neutral,False,4,74,0.9925,10.51,0.74,-1.09,7.56,-1.57
2021-04-02,58950.01000000,59.4,Neutral,False,4,74,0.9933,10.49,0.76,-1.37,4.05,-4.02
2021-04-03,57051.94000000,64.0,Neutral,False,4,73,0.9892,6.54,0.77,4.76,5.18,0.21
2021-04-04,58202.01000000,59.4,Neutral,False,4,74,0.9923,8.24,0.70,3.09,-3.53,-8.59
2021-04-05,59129.99000000,61.0,Neutral,False,4,71,0.9900,9.54,0.94,1.23,-5.91,-2.86
2021-04-06,57991.15000000,61.8,Neutral,False,4,75,0.9861,7.03,0.96,9.63,-2.70,-2.75
2021-04-07,55953.45000000,51.7,Neutral,False,4,72,0.9736,3.01,1.25,12.52,-3.87,2.43
