"Date(UTC)","Pair","Side","Price","Executed","Amount","Fee"
"2026-01-11 02:49:13","BTCEUR","SELL","77950.0000000000","0.0080100000BTC","624.37950000EUR","0.6243795000EUR"
"2026-01-10 22:09:34","BTCEUR","BUY","77700.0000000000","0.0080100000BTC","622.37700000EUR","0.0000080100BTC"
"2026-01-10 08:36:30","BTCEUR","BUY","77858.1600000000","0.0158600000BTC","1234.83041760EUR","0.0000150700BTC"
"2026-01-10 08:36:30","BTCEUR","BUY","77860.4000000000","0.0043900000BTC","341.80715600EUR","0.0000041700BTC"
"2026-01-03 14:24:19","BTCEUR","SELL","76933.0700000000","0.0013500000BTC","103.85964450EUR","0.1038596400EUR"
"2026-01-03 11:07:36","BTCEUR","BUY","76580.6800000000","0.0013600000BTC","104.14972480EUR","0.0000013600BTC"
"2026-01-03 10:51:06","BTCEUR","BUY","76627.9000000000","0.0041100000BTC","314.94066900EUR","0.0000039000BTC"
"2026-01-03 07:18:00","BTCEUR","BUY","76542.4400000000","0.0023300000BTC","178.34388520EUR","0.0000023300BTC"
"2026-01-02 22:05:09","BTCEUR","SELL","77019.7300000000","0.0023100000BTC","177.91557630EUR","0.1779155800EUR"
"2026-01-02 20:51:10","BTCEUR","BUY","76542.4400000000","0.0023300000BTC","178.34388520EUR","0.0000023300BTC"
"2026-01-02 20:39:08","BTCEUR","BUY","76689.3400000000","0.0023900000BTC","183.28752260EUR","0.0000022700BTC"
"2026-01-02 10:06:49","BTCEUR","SELL","76400.0000000000","0.0012100000BTC","92.44400000EUR","0.0924440000EUR"
"2026-01-02 08:42:46","BTCEUR","BUY","75858.4200000000","0.0023300000BTC","176.75011860EUR","0.0000022100BTC"
"2026-01-02 08:12:58","BTCEUR","SELL","75757.8000000000","0.0010000000BTC","75.75780000EUR","0.0757578000EUR"
"2026-01-02 03:07:47","BTCEUR","SELL","75397.5600000000","0.0010000000BTC","75.39756000EUR","0.0753975600EUR"
"2026-01-02 02:21:44","BTCEUR","BUY","75037.3200000000","0.0010000000BTC","75.03732000EUR","0.0000010000BTC"
"2026-01-01 23:00:20","BTCEUR","SELL","75397.5600000000","0.0010000000BTC","75.39756000EUR","0.0753975600EUR"
"2026-01-01 17:30:22","BTCEUR","SELL","75037.3200000000","0.0002100000BTC","15.75783720EUR","0.0157578400EUR"
"2026-01-01 17:30:07","BTCEUR","SELL","75037.3200000000","0.0007900000BTC","59.27948280EUR","0.0592794800EUR"
"2026-01-01 11:33:39","BTCEUR","BUY","74677.0700000000","0.0010000000BTC","74.67707000EUR","0.0000010000BTC"
"2026-01-01 11:32:12","BTCEUR","SELL","75397.5600000000","0.0010000000BTC","75.39756000EUR","0.0753975600EUR"
"2026-01-01 11:32:12","BTCEUR","SELL","75037.3200000000","0.0010000000BTC","75.03732000EUR","0.0750373200EUR"
"2026-01-01 11:32:12","BTCEUR","BUY","74693.6700000000","0.0010000000BTC","74.69367000EUR","0.0000009500BTC"
"2026-01-01 09:45:51","BTCEUR","BUY","74605.1000000000","0.0011000000BTC","82.06561000EUR","0.0000010500BTC"
"2025-12-31 19:55:28","BTCEUR","BUY","74203.1400000000","0.0006500000BTC","48.23204100EUR","0.0000006500BTC"
"2025-12-31 15:11:52","BTCEUR","BUY","74738.2300000000","0.0000200000BTC","1.49476460EUR","0.0000000200BTC"
"2025-12-31 15:11:52","BTCEUR","BUY","74738.2300000000","0.0006300000BTC","47.08508490EUR","0.0000006300BTC"
"2025-12-31 09:10:10","BTCEUR","BUY","74738.2300000000","0.0006500000BTC","48.57984950EUR","0.0000006500BTC"
"2025-12-31 09:10:10","BTCEUR","SELL","75407.2200000000","0.0006500000BTC","49.01469300EUR","0.0465639600EUR"
"2025-12-30 23:19:50","BTCEUR","SELL","75273.3300000000","0.0006500000BTC","48.92766450EUR","0.0489276600EUR"
"2025-12-30 20:53:56","BTCEUR","BUY","74738.2300000000","0.0006500000BTC","48.57984950EUR","0.0000006500BTC"
"2025-12-30 16:45:53","BTCEUR","BUY","75273.3300000000","0.0006500000BTC","48.92766450EUR","0.0000006500BTC"
"2025-12-30 16:18:38","BTCEUR","SELL","75808.4300000000","0.0006500000BTC","49.27547950EUR","0.0492754800EUR"
"2025-12-30 14:52:39","BTCEUR","SELL","75273.3300000000","0.0003700000BTC","27.85113210EUR","0.0278511300EUR"
"2025-12-30 14:52:39","BTCEUR","SELL","75273.3300000000","0.0002800000BTC","21.07653240EUR","0.0210765300EUR"
"2025-12-30 08:15:49","BTCEUR","SELL","74738.2300000000","0.0006500000BTC","48.57984950EUR","0.0485798500EUR"
"2025-12-29 19:03:34","BTCEUR","BUY","74203.1400000000","0.0006500000BTC","48.23204100EUR","0.0000006500BTC"
"2025-12-29 18:02:03","BTCEUR","SELL","74738.2300000000","0.0006500000BTC","48.57984950EUR","0.0485798500EUR"
"2025-12-29 14:58:00","BTCEUR","BUY","74203.1400000000","0.0006500000BTC","48.23204100EUR","0.0000006500BTC"
"2025-12-29 14:37:05","BTCEUR","SELL","74738.2300000000","0.0006500000BTC","48.57984950EUR","0.0485798500EUR"
"2025-12-29 12:05:18","BTCEUR","BUY","74203.1400000000","0.0006500000BTC","48.23204100EUR","0.0000006500BTC"
"2025-12-29 09:41:21","BTCEUR","BUY","74738.2300000000","0.0002200000BTC","16.44241060EUR","0.0000002200BTC"
"2025-12-29 09:41:21","BTCEUR","BUY","74738.2300000000","0.0004300000BTC","32.13743890EUR","0.0000004300BTC"
"2025-12-29 09:32:59","BTCEUR","BUY","75273.3300000000","0.0006500000BTC","48.92766450EUR","0.0000006500BTC"
"2025-12-29 08:04:39","BTCEUR","BUY","75808.4300000000","0.0006500000BTC","49.27547950EUR","0.0000006500BTC"
"2025-12-29 03:58:24","BTCEUR","SELL","76343.5300000000","0.0006500000BTC","49.62329450EUR","0.0496232900EUR"
"2025-12-29 03:31:12","BTCEUR","SELL","75808.4300000000","0.0006500000BTC","49.27547950EUR","0.0492754800EUR"
"2025-12-29 02:03:03","BTCEUR","SELL","75273.3300000000","0.0006500000BTC","48.92766450EUR","0.0489276600EUR"
"2025-12-29 00:31:06","BTCEUR","SELL","74738.2300000000","0.0003800000BTC","28.40052740EUR","0.0284005300EUR"
"2025-12-29 00:31:06","BTCEUR","SELL","74738.2300000000","0.0002700000BTC","20.17932210EUR","0.0201793200EUR"
"2025-12-28 21:21:57","BTCEUR","BUY","74203.1400000000","0.0006500000BTC","48.23204100EUR","0.0000006500BTC"
"2025-12-28 21:17:27","BTCEUR","BUY","74258.4700000000","0.0059500000BTC","441.83789650EUR","0.0000056500BTC"
"2025-12-28 09:36:15","BTCEUR","BUY","74480.0000000000","0.0004000000BTC","29.79200000EUR","0.0000004000BTC"
"2025-12-28 09:36:15","BTCEUR","BUY","74480.0000000000","0.0010500000BTC","78.20400000EUR","0.0000010500BTC"
"2025-12-28 09:35:48","BTCEUR","BUY","74512.5000000000","0.0013500000BTC","100.59187500EUR","0.0000013500BTC"
"2025-12-28 09:32:44","BTCEUR","BUY","74561.3700000000","0.0028000000BTC","208.77183600EUR","0.0000026600BTC"
"2025-12-28 09:15:22","BTCEUR","BUY","74547.8200000000","0.0034500000BTC","257.18997900EUR","0.0000032800BTC"
"2025-12-23 22:36:33","BTCEUR","BUY","73950.0000000000","0.0000100000BTC","0.73950000EUR","0.0000000100BTC"
"2025-12-23 22:36:33","BTCEUR","BUY","73950.0000000000","0.0004000000BTC","29.58000000EUR","0.0000004000BTC"
"2025-12-23 22:36:33","BTCEUR","BUY","73950.0000000000","0.0004000000BTC","29.58000000EUR","0.0000004000BTC"
"2025-12-23 22:36:33","BTCEUR","BUY","73950.0000000000","0.0004000000BTC","29.58000000EUR","0.0000004000BTC"
"2025-12-23 16:04:14","BTCEUR","SELL","74800.0000000000","0.0012100000BTC","90.50800000EUR","0.0905080000EUR"
"2025-12-23 14:50:00","BTCEUR","BUY","73950.0000000000","0.0012100000BTC","89.47950000EUR","0.0000012100BTC"
"2025-12-23 14:15:59","BTCEUR","BUY","74479.0800000000","0.0082100000BTC","611.47324680EUR","0.0000078000BTC"
"2025-12-23 12:57:21","BTCEUR","BUY","74489.2400000000","0.0014200000BTC","105.77472080EUR","0.0000013500BTC"
